"","All ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","All "
"Jul-2017 ",36246,29393,26610,25130,22275,20746,19721,17956,12797,15737,15000,14972,11238,12272,9065,9295,11825,10656,10674,10105,9884,9082,7794,8570,7627,7646,392316,6406,5859,5154,3469,2155,3805,3727,3409,3270,2875,40129,2227,2020,1778,1515,1067,3277,2043,1743,929,752,647,511,337,301,250,117,113,107,82,52,33,149,20050,452495
"Aug-2017 ",28909,27188,25608,23831,21590,20605,19449,18121,16686,15257,14716,14577,13179,10272,12277,12416,12108,8912,10174,6173,10015,9841,9138,8950,8488,8313,386793,6686,6337,6259,5658,5370,4488,3700,2999,1887,1389,44773,2044,1885,1826,1653,1511,4560,2390,1532,1309,812,606,555,424,300,259,207,112,96,81,75,43,160,22440,454006
"Sep-2017 ",31342,29100,26401,24219,16990,19189,18343,17180,15595,14787,14500,13457,13505,12347,11683,11918,11237,8327,10629,10290,10512,7780,8824,6563,6812,8459,379989,6927,6936,6335,6219,5436,4461,4516,3817,3985,3370,52002,1630,1406,975,565,1117,4182,3041,1740,1117,994,659,499,470,315,243,198,166,90,64,68,48,161,19748,451739
"Oct-2017 ",37005,30747,27249,24353,21860,19992,17916,16801,14552,10653,13058,12568,12199,11534,11198,10710,10870,10168,9728,9582,9586,8593,6888,8190,8265,7764,382029,5104,5808,3437,5721,4881,4714,4123,3902,3460,2783,43933,2365,2085,2158,1787,1256,2895,2974,2179,1317,902,744,510,371,367,238,184,152,122,61,55,46,163,22931,448893
"Nov-2017 ",37812,29513,26578,23214,21068,21246,19019,17374,15351,14496,13397,12716,11758,8260,10273,9883,10041,9565,9170,8857,8444,8460,7897,7758,7527,6853,376530,4885,5920,5851,5545,4099,4107,2198,3418,3074,2862,41959,2054,2009,1925,1572,1394,4588,2032,1983,1493,979,679,534,404,263,264,167,137,106,95,43,41,167,22929,441418
"Dec-2017 ",13300,28978,27866,25667,24189,22288,20384,17845,15029,15661,15125,13748,12713,11857,11007,10465,10078,7520,8881,8835,8717,8468,8152,7363,6858,6959,367953,5929,5747,5498,5178,3795,4547,4200,3953,3007,3270,45124,1266,1350,1637,1383,1395,4328,3094,1622,1438,1158,819,580,458,344,240,230,158,104,91,66,44,198,22003,435080
"Jan-2018 ",38524,29698,26722,21004,12231,11418,18708,17377,15829,15156,14287,12799,11689,11428,11495,11066,10362,9870,9208,8838,8502,7862,5874,6970,6774,6495,360186,5741,4924,4153,4071,3898,3612,3261,3140,2683,2093,37576,2073,2055,1973,1368,1274,3568,2985,2126,1219,886,783,656,449,355,294,198,180,137,83,66,50,177,22955,420717
"Feb-2018 ",37380,29670,28378,25609,22873,20671,18299,14292,8164,7784,12938,12539,12107,11532,11212,10237,9493,9627,9776,9331,8783,8220,7409,7050,6731,6100,366205,4309,5075,4894,4605,4265,3103,2129,2095,2004,1772,34251,1496,1437,1180,988,1098,3592,2077,1824,1363,824,645,564,465,341,258,224,145,130,101,50,55,174,19031,419487
"Mar-2018 ",26882,31563,29758,26163,21428,20913,20168,18480,16040,14406,13436,12160,7616,4409,10180,10289,9891,9872,9855,9337,8695,8011,8187,7761,7127,6676,369303,5698,5156,4926,4685,3520,3927,3256,3180,2915,2661,39924,600,581,558,553,507,1841,1639,1095,1057,800,567,412,416,368,237,200,174,118,107,70,45,174,12119,421346
"Apr-2018 ",41773,32650,28630,20747,19617,22335,20904,17723,13986,13795,14148,13374,12395,11223,10766,9969,6454,3816,8742,8821,8534,8373,8250,7655,6956,6415,378051,6015,5290,4834,4502,4245,3507,3204,2947,2170,2310,39024,1356,1340,1267,1186,487,1715,1479,1311,879,856,636,451,340,329,284,193,156,130,85,81,55,181,14797,431872
"May-2018 ",33442,32963,30764,22660,26520,23594,20748,17624,9678,15386,14376,13565,10449,11219,10947,11353,10666,10193,9165,8872,7843,4747,3863,7102,7110,6626,381475,6031,5714,5082,4538,4161,3834,2896,2825,2440,2138,39659,1298,1217,1188,846,863,2805,1366,1091,1042,700,629,516,366,269,262,212,165,115,92,73,56,173,15344,436478
"Jun-2018 ",33404,31931,29941,26831,19281,23916,22036,15958,18012,16435,14959,13278,9439,9804,11464,11283,10087,8500,8833,9455,9187,8661,7799,7242,6691,4204,388631,2325,5008,4979,4708,4479,4149,3262,3067,2626,2533,37136,889,840,785,688,612,1964,1576,979,741,732,539,469,397,292,206,214,159,127,93,68,60,164,12594,438361
"Jul-2018 ",37545,30333,27938,25949,23816,22292,20629,18865,16007,13169,15359,14605,10888,12933,11674,11396,10093,6028,9871,9677,8657,7169,7428,7898,7434,6944,394597,5819,5130,4740,3760,1745,2587,2984,3035,2798,2479,35077,1172,1085,954,918,654,2067,1504,1168,794,649,575,445,378,355,239,167,170,110,90,88,59,177,13818,443492
"Aug-2018 ",30231,29590,27232,24898,23808,21666,20274,18801,16664,15831,15309,14352,13334,9893,12528,12222,9444,11381,10787,10129,9293,5421,8255,8062,7649,6244,393298,5827,5603,5629,5259,4753,3978,3164,2841,1806,1279,40139,1304,1320,1169,1060,901,2578,1569,1191,917,693,545,463,400,327,292,215,121,143,89,81,63,181,15622,449059
"Sep-2018 ",32956,30643,28001,25143,17995,20690,19134,17419,15393,14851,14374,13614,12773,12181,12010,11722,11152,8251,10884,10572,8203,9725,8974,7967,7342,5339,387308,4973,5812,5697,4966,4142,4021,3696,3516,3191,2794,42808,1033,1036,712,426,699,2528,1717,1120,895,683,549,444,352,316,258,226,163,88,112,69,67,180,13673,443789
"Oct-2018 ",38654,31624,28821,25945,23182,20754,18956,16946,14767,10889,13201,12237,11527,11243,10996,10629,10434,10121,9791,9668,9437,8514,7118,8204,7946,5888,387492,6729,5622,5113,4474,2630,3958,3480,3007,2490,2349,39852,1145,1143,1097,959,731,1801,1762,1283,843,694,496,428,367,265,223,194,168,119,66,81,48,188,14101,441445
"Nov-2018 ",37926,30759,27635,24538,22399,21918,19665,17757,15924,14116,13554,12596,11615,8519,10138,9891,9680,9437,9447,8773,8861,8105,7829,7603,7248,6815,382748,4811,5913,5539,4218,5052,4249,3070,2691,1702,2332,39577,1077,1015,889,868,667,2302,1245,1261,962,690,513,396,340,264,205,170,145,125,86,44,60,186,13510,435835
"Dec-2018 ",17823,31637,29029,26992,25379,23158,21008,18232,15540,15870,14889,13655,13115,11432,10911,10474,10099,7468,9012,8812,8681,8117,8214,7143,6970,6563,380223,5793,5695,5537,5261,3840,4476,4092,3060,3595,2968,44317,981,873,673,666,635,2125,1641,978,1000,772,555,432,336,288,221,168,132,108,95,61,39,203,12982,437522
"Jan-2019 ",41717,33038,29096,22930,12186,12233,20198,18165,16273,15488,14575,13696,12124,11774,11766,11115,10399,10178,9301,8868,8815,8096,5892,7222,6895,6677,378717,5719,5295,4254,4438,4083,3823,3297,3202,2873,2201,39185,1278,1176,877,1041,761,1943,1551,1255,828,724,633,442,335,281,235,177,121,99,74,65,37,207,14140,432042
"Feb-2019 ",39296,32709,29728,27093,25332,22990,19906,15182,7849,8044,13955,13226,12475,11910,11456,10961,9947,10047,10078,9497,8848,8588,7673,7147,7052,6427,387416,4427,5190,4913,4762,4332,3761,2404,2468,2254,2083,36594,1073,995,951,744,715,2344,1293,1100,870,641,539,476,303,262,219,187,137,91,64,54,42,172,13272,437282
"Mar-2019 ",32854,32505,30568,27703,24494,23295,21314,18461,17205,15652,15082,12804,7082,4638,11385,10632,10499,10144,10009,9389,8894,8383,8443,7821,7080,7256,393592,5705,5225,5034,4779,3537,3962,3022,2855,2650,2536,39305,421,400,441,423,396,1446,1282,748,684,546,410,353,328,239,181,159,130,101,51,41,39,166,8985,441882
"Apr-2019 ",37642,19653,31080,28358,25485,23705,21855,19196,15932,15773,14810,14026,13325,12652,12102,10586,6734,3745,9262,9227,9126,8717,8446,7889,7615,6768,393709,6447,5798,5425,5099,4739,3892,3441,2996,2823,2080,42740,964,984,853,888,411,1349,1127,1046,623,554,443,348,286,271,206,149,125,103,75,37,34,167,11043,447492
"May-2019 (6)",33514,32610,31355,22997,25255,13745,22240,20539,17525,16031,15451,14436,12997,12250,11849,11314,10954,10703,10483,9804,8335,4730,3986,8011,7611,7447,396172,6466,6147,5560,5154,5133,4826,3808,3532,3230,2678,46534,1118,1147,989,707,730,2079,1055,878,872,525,445,395,297,243,217,170,124,80,76,50,32,169,12398,455104
"Jun-2019 (6)",34425,31879,30299,26671,19356,23583,21946,16231,17378,11762,12623,14705,13832,12507,12136,11998,10922,10084,10234,9925,9331,9440,8798,8387,7087,4170,399709,2689,6050,5643,5663,5323,4926,4014,3777,3406,3406,44897,1155,1102,1122,955,732,2282,1470,801,682,702,450,333,330,240,185,164,133,96,67,57,40,162,13260,457866
"Jul-2019 (6)",38279,31356,28912,26527,24113,22182,20395,18887,16033,12485,15144,14242,10811,11966,7137,12061,11472,10685,10414,10056,9557,8673,8398,8458,7590,7541,403374,6771,6302,5576,4305,2055,3585,3876,3821,3522,3366,43179,1410,1292,1051,1240,901,3075,1655,1084,681,586,543,437,263,285,196,156,153,118,88,74,48,208,15544,462097
"Aug-2019 (6)",26656,29814,27984,25844,24186,23536,21381,19669,17102,16528,15050,14361,13268,9919,12636,12408,9487,11286,7593,8650,10183,9954,9142,8663,8433,7835,401568,6582,6539,6137,5695,5878,5379,4274,3632,2384,1615,48115,1876,1631,1600,1635,1263,3607,2091,1328,912,635,530,459,389,227,217,159,124,124,99,68,62,192,19228,468911
"Sep-2019 (6)",39932,30430,28410,25234,18027,20426,19406,17516,15766,15606,14676,14078,12964,12790,11903,11874,11216,8265,10679,10371,8168,9580,6640,6908,8359,8042,397266,6886,6520,6337,5800,5234,5036,4433,4088,4252,3679,52265,1839,1476,965,775,1263,4085,2597,1582,930,702,523,425,387,318,186,178,131,103,88,77,53,211,18894,468425
"Oct-2019 (6)",38994,31466,29029,25897,23081,21432,19546,17576,15274,10872,13705,12695,12459,11800,11777,11559,11120,10685,10328,9870,9980,8734,7055,8239,8109,6315,397597,7311,3902,6271,5801,5585,5310,4394,4028,3713,3569,49884,1864,1721,1749,1658,1436,3229,2869,1965,1229,748,549,455,372,323,293,146,151,89,85,68,60,211,21270,468751
"Nov-2019 (6)",33098,31071,28562,24910,21885,22100,20656,18646,15841,14751,14055,13217,12164,9047,10852,10860,10344,10173,10184,9758,9649,9097,8810,8228,8052,7474,393484,5230,6526,6163,4789,5747,3808,3932,4141,4088,3743,48167,1978,1905,1702,1557,1330,4705,2320,2199,1434,984,600,461,370,320,284,227,124,112,75,74,61,216,23038,464689
"Dec-2019 (6)",17541,30044,28502,26351,24314,22836,21146,18924,15481,15637,15161,14083,13192,12284,11683,11201,10747,9954,7757,9704,9270,8998,8907,8257,7952,7514,387440,6839,6184,6198,6025,5174,4062,4730,4347,3518,3738,50815,1371,2020,1910,1935,1577,5041,3708,1936,1681,1232,813,513,398,340,275,233,194,106,94,60,61,221,25719,463974
"Jan-2020 (6)",40673,32064,28812,24058,11969,10962,20307,18480,16261,15628,14960,13885,12533,12037,12157,11673,11315,10869,10011,10007,9443,8799,6589,8005,7746,7394,386637,6751,6311,5749,5440,5163,4854,4425,4209,3748,3089,49739,2123,2135,1704,1987,1095,5354,3858,2777,1530,1137,1005,669,448,313,315,235,183,167,90,76,58,234,27493,463869
"Feb-2020 (6)",33282,29942,30029,27503,24850,22682,20271,17044,8660,6473,14059,13305,12850,12322,11948,11557,10767,10058,10741,10319,10040,9436,8801,8464,7842,7385,390630,5171,6258,5985,5590,5410,4807,3819,3480,3308,3108,46936,1964,1808,1734,1376,1480,4762,3502,2484,1785,1139,808,753,525,368,260,266,195,137,127,57,65,241,25836,463402
"Mar-2020 (6)",12707,17707,27531,27866,25484,22254,22255,20933,18469,16701,15530,13595,7960,4675,11764,11386,11186,11146,10613,10471,10014,9173,9605,9031,8659,8415,375130,7537,7051,6753,6286,5546,4186,4689,4349,4197,3915,54509,2317,2164,2033,1890,1492,4821,3718,2519,1841,1426,999,686,662,437,316,221,232,170,126,115,51,279,28515,458154
"Apr-2020 (6)",9921,6151,3968,5971,6987,11638,20996,24442,23338,20683,19917,19323,17471,16199,14509,13458,10729,4318,8103,11004,10693,10474,10202,10024,9443,8673,328635,8859,8667,8208,8014,7199,6747,6455,5995,5382,3922,69448,4397,4041,3844,3696,2654,7516,4708,3669,2574,1891,1442,1057,662,674,448,331,216,237,173,129,113,350,44822,442905
"May-2020 (6)",10238,10077,8366,5708,5972,4992,4163,4322,6086,8260,16489,23452,23211,20898,18819,19437,17707,16001,14644,13371,11837,6320,4821,10467,10084,9987,305729,9871,9572,9181,8544,8003,8494,7789,7628,7086,6486,82654,6066,5655,5245,3723,4298,14161,7599,4710,3672,2538,1960,1389,1122,668,663,475,323,226,239,163,143,526,65564,453947
"Jun-2020 (6)",19030,12786,10974,9071,7826,5520,6542,4694,5196,4300,4548,3307,5478,6816,12510,20265,21316,19467,17190,17352,16558,14729,13493,12632,11078,6635,289313,3809,9773,9484,9336,9386,8863,8600,8246,7527,7829,82853,7188,6942,6735,6045,5715,18184,13672,7367,4824,3421,2549,1933,1372,1117,673,661,478,316,232,225,163,683,90495,462661
"Jul-2020 (6)",23054,16955,14492,12563,10608,9022,8283,7660,6754,4759,5707,4626,4818,4140,3742,2590,4023,5061,7490,14538,18634,18671,16413,15450,15530,14081,269664,13083,12160,11031,9676,4872,4825,9041,8754,8818,8600,90860,8135,7739,7151,7099,7110,24659,18095,13487,7758,4974,3448,2568,2000,1396,1179,680,693,507,334,226,223,880,120341,480865
"Aug-2020 (6)",21207,18687,16339,14971,13004,11962,11023,9956,8807,7600,6973,6733,5807,4135,4811,4665,3452,3681,3336,2954,3402,4766,6178,11841,17442,17164,240896,15415,14085,14523,13381,12390,11385,10401,9436,5038,3881,109935,8392,8251,7983,8163,7937,27886,23804,17386,12932,7791,4937,3396,2519,1966,1428,1174,682,683,511,340,227,1096,149484,500315
"Sep-2020 (6)",27902,20388,18673,16411,11167,13120,11949,11293,10763,10099,9270,8435,7869,6868,6238,5992,5362,4756,3494,4195,3166,3496,2886,2975,2030,3603,232400,4352,7777,14251,15554,14672,12689,12902,12602,11381,10861,117041,9936,9108,5796,2917,7449,29931,26448,22451,17154,11720,7907,4885,3405,2371,1932,1450,1158,681,665,525,339,1314,169542,518983
"Oct-2020 (6)",22098,20716,19330,17132,15869,14266,13760,12909,9177,10361,9918,9302,9349,8485,8143,7482,6993,6288,5589,5188,5104,4397,3180,3614,3529,2632,254811,2715,2508,2090,2346,3349,4543,9344,13382,13351,11888,65516,10864,11338,10699,10011,9714,23751,28054,24687,21641,16793,11301,8065,4972,3337,2364,2012,1377,1211,672,677,510,1680,205730,526057
"Nov-2020 (6)",28398,21152,18551,16631,14032,13629,13404,12342,11974,11192,11113,10445,7604,8628,8313,7929,7998,7257,6962,6470,6030,5412,4832,4409,4319,3725,272751,2654,3027,2907,2206,2306,2149,1792,2044,2905,3908,25898,7847,11757,11650,10544,10312,36932,21932,25921,22961,20103,15647,10474,7594,4683,3203,2277,1922,1349,1174,654,674,2112,231722,530371
"Dec-2020 (6)",13204,20588,19558,18373,16381,15606,14203,13372,11632,11012,11211,11103,10319,10078,9678,9504,8833,6345,7620,7229,7085,6911,6271,5909,5268,5057,282350,4430,4020,3701,3582,3090,2187,2817,2347,2452,2134,30760,1997,1448,2435,2797,5759,38224,34818,23192,23037,22133,19364,15259,10455,7712,4663,3275,2287,1938,1378,1120,746,2783,226820,539930
"Jan-2021 (6)",22697,19864,17468,14480,6499,10386,13990,13714,13010,12143,11860,11003,10573,9079,9431,9507,9087,8959,8395,8339,8138,5803,6725,6448,6157,6362,280117,5731,5393,4940,4658,4145,3683,3412,3344,2896,2055,40257,2364,2338,1737,1871,2793,8634,34710,32713,24219,20269,21589,18082,14826,10212,7683,4666,3171,2426,1865,1379,1116,3865,222528,542902
"Feb-2021 (6)",24778,20691,19393,16777,14572,13715,12393,10616,4782,7919,11050,11093,10597,9990,9863,9342,8933,7881,8182,8274,7936,7884,7361,7295,7229,5160,283706,6026,5743,5552,5691,5129,4827,4457,4145,3658,3287,48515,3040,2968,2566,1832,2880,6865,7964,32050,30536,22746,18936,19902,17170,14001,9692,7342,4487,3066,2343,1837,1352,4771,218346,550567
"Mar-2021 (6)",32426,25231,21562,18927,16596,14034,13083,12152,10830,10077,9692,8874,5856,4112,8860,9079,9050,8540,8671,7930,7956,6958,7210,7127,7057,6813,298703,6625,6258,6399,5968,4290,5117,5024,4847,4883,4407,53818,4038,3699,3477,3059,3512,8604,6386,6652,27390,28432,22319,16792,18999,16113,13331,9314,7267,4374,3037,2408,1753,6126,217082,569603
"Apr-2021 ",37401,28383,23704,12806,18827,17753,15881,14646,13122,11232,10428,10055,9394,8558,8384,7892,5814,3141,7002,7862,8166,7665,7633,7327,7146,6637,316859,6137,6332,6589,6116,6201,5787,5865,5675,3865,4808,57375,4576,4364,4557,4127,4540,12419,8296,6084,5772,24132,26518,22954,14751,18235,15391,12996,8911,7085,4343,2999,2341,7666,223057,597291
"May-2021 ",31641,28193,25589,18399,20219,19146,16496,11380,11023,12860,12076,11676,10624,9364,8503,8490,8142,7493,7261,6985,6190,2782,4854,7084,7104,6981,320555,6590,6639,6373,6102,5475,5690,5814,5650,5760,5255,59348,5289,5203,3740,4301,4897,15459,11728,7961,5621,5226,21636,25168,22078,13811,17196,14704,12288,8555,6717,4191,2875,9775,228419,608322
"Jun-2021 ",35832,26815,24644,21485,16704,19551,18035,16852,12288,14307,13137,11423,6608,10566,10357,9621,9260,8521,7767,7503,7268,6835,6448,6233,5744,3858,337662,2748,6035,6279,6233,5929,6018,5608,5641,4967,5200,54658,5166,5237,5091,4953,5271,16222,14518,11073,7758,4945,4464,17788,24006,21150,12934,16460,14038,11743,8379,6444,4077,12173,233890,626210
"Jul-2021 ",28626,26116,25172,23091,20939,18958,17937,17174,11769,15493,14117,13737,10352,11954,11594,10487,7541,7736,9073,8712,8615,8162,7190,6609,6611,6470,354235,5986,5694,5471,4854,2143,3925,5694,5637,5637,5306,50347,5368,5102,4915,4481,5229,18265,15411,13524,10762,7328,4739,4008,14087,22775,20452,12577,15727,13540,11400,8152,6249,15790,239881,644463
"Aug-2021 ",27116,26007,23383,21180,20226,18690,17912,17429,16107,15244,14122,13979,12236,10320,12187,11972,11401,8608,10540,9384,8603,5419,8145,8208,7723,7483,363624,6873,6164,6214,5909,5557,5176,5073,4530,2784,2653,50933,4982,5087,5165,4803,5560,17351,16690,14175,12493,10008,7042,4529,3798,12238,21608,19613,11953,14917,12793,10707,7926,20899,244337,658894
"Sep-2021 ",34110,26629,24081,21004,15056,17613,17151,15788,15470,14167,13881,14014,13216,12322,11856,11565,11032,8456,10866,10367,10142,7904,9248,9065,8086,4658,367747,7648,7352,6963,6897,6381,5754,5545,5481,5056,4694,61771,4449,4251,2978,1729,5155,18036,15986,15597,13269,11446,9482,6740,4346,3467,9676,20486,18546,11422,14090,12117,10190,27641,241099,670617
"Oct-2021 ",28082,27867,25503,22089,20349,18840,17672,16533,11828,13646,14181,12814,12746,11743,11454,11429,11369,10876,10303,10120,10222,7171,9894,9255,9300,7270,372556,8336,8359,7424,5506,5638,6606,6451,6347,6060,5398,66125,4902,4875,4774,4400,4873,12083,16540,14986,14438,12411,10666,9055,6463,4345,3270,7174,19386,17524,10805,13099,11212,35568,242849,681530
"Nov-2021 ",36302,27463,24623,21881,18461,18820,18006,16196,14982,14283,13804,13101,11557,8785,11300,10540,10324,10092,9794,9558,9886,9467,9191,8726,8958,8087,374187,6926,8336,8231,7992,5977,7478,6617,6254,3913,5871,67595,5934,5634,5383,4967,5101,16199,10797,14751,13626,12894,11607,9284,8551,6088,4089,3174,5772,18060,16226,9971,11677,42616,242401,684183
"Dec-2021 ",15601,26020,25090,23021,22255,20328,19432,17107,15723,14157,14953,13632,13178,12131,11589,11335,10741,7630,9679,9777,9300,9171,8785,8600,8831,8630,366696,8427,8158,7951,7990,5965,7889,7356,7465,5654,6599,73454,6677,5813,3434,5559,6014,19243,15124,10165,13070,12741,11762,11332,8633,8073,5807,3887,2938,4000,15764,14764,10590,49692,245082,685232
"Jan-2022 ",37831,27599,23913,15253,8108,16456,17570,16255,16606,15769,15075,13867,13110,11396,12191,11834,11007,10598,10111,9915,9604,6899,8375,8876,8284,8234,364736,7948,7719,7933,7911,7681,7326,7111,7253,5239,7087,73208,6470,6661,5221,5976,6753,18291,17422,13860,9895,11376,11689,10689,10503,8276,7686,5477,3687,2821,3485,14433,13706,56515,250892,688836
"Feb-2022 ",35079,29504,26648,23892,21174,19195,17057,10993,6035,12526,13687,12949,13617,12859,12421,11443,10768,9517,10225,9957,9279,8988,8747,8548,8386,6016,369510,7364,7855,7342,7294,7058,6886,7003,6903,6641,6382,70728,6194,6254,4548,6211,6463,21306,16368,15782,12508,8997,10489,10810,9988,9651,7558,7045,5069,3388,2594,3183,13139,64102,251647,691885
"Mar-2022 ",36223,28266,26766,24335,21313,19606,19495,18260,16043,15346,13697,12065,7196,5168,10822,10907,10823,10991,10474,10052,9665,8612,8691,8918,8391,8164,380289,7594,7860,7678,7019,5286,6662,6775,6476,6563,6039,67952,5849,6137,5835,5552,6328,20590,19102,15282,14393,11751,9018,8635,9885,9034,8736,7031,6508,4811,3290,2422,2564,70417,253170,701411
"Apr-2022 ",32983,21302,22697,25495,22322,20379,20033,18749,17430,14638,15474,14717,13768,12712,12055,10860,7208,4002,8736,9449,9225,9969,9332,9206,8603,8294,379638,7358,8089,7814,7460,7234,7049,6810,6685,4743,6029,69271,6174,5845,5674,5536,6338,21050,18549,17614,14144,13233,10802,9006,7314,9219,8430,8161,6764,6096,4681,3217,2310,68032,258189,707098
"May-2022 ",38575,30528,28000,25321,18464,18760,12511,18665,16951,15272,15229,14948,14177,12078,12448,12221,11155,10714,10488,9501,8151,3617,5977,8308,8207,8686,388952,8297,8408,7816,7526,6664,7281,7014,6705,6406,6219,72336,6193,5953,5375,4321,6609,20327,18777,16990,16493,13371,12310,10249,8408,6704,8501,7905,7633,6409,5691,4389,3198,65053,260859,722147
"June-2022 ",39923,29961,27711,15963,23424,22450,21107,19557,14438,15648,9139,14821,14488,12550,12634,12457,11896,10940,10435,10656,10402,9627,9587,8716,7784,4647,400961,3434,7426,7375,7537,7658,7446,7182,6918,6237,6286,67499,6366,6050,5911,5476,6775,19237,18616,17386,15653,15237,12481,11434,9758,7862,6040,7692,7273,7102,5983,5194,4119,62136,263781,732241
"July-2022 ",32708,28994,27833,25407,23420,22193,20861,19076,10921,17781,17127,15920,11918,13810,9175,10696,12194,11300,10574,10806,10544,10234,9039,9598,9311,8952,410392,8379,8138,7409,4876,2605,6059,6622,6422,7014,6701,64225,6635,6205,5949,5251,7006,21071,17687,17418,16363,14370,14467,12421,10221,9101,7475,5375,7271,6746,6558,5556,4909,60557,268612,743229


