Year,Month,stp_code,Deaths
2021,Mar,QJM,43
2021,Mar,QK1,69
2021,Mar,QKK,41
2021,Mar,QKS,86
2021,Mar,QM7,36
2021,Mar,QMF,55
2021,Mar,QMJ,37
2021,Mar,QMM,36
2021,Mar,QNC,34
2021,Mar,QNQ,34
2021,Mar,QNX,49
2021,Mar,QOC,32
2021,Mar,QOP,189
2021,Mar,QOQ,80
2021,Mar,QOX,25
2021,Mar,QPM,28
2021,Mar,QR1,10
2021,Mar,QRL,73
2021,Mar,QRV,66
2021,Mar,QSL,6
2021,Mar,QT1,73
2021,Mar,QT6,6
2021,Mar,QU9,33
2021,Mar,QUA,97
2021,Mar,QUE,31
2021,Mar,QUY,13
2021,Mar,QVV,27
2021,Mar,QWE,60
2021,Mar,QWO,120
2021,Mar,QWU,33
2021,Mar,QXU,18
2021,Mar,QYG,133
2021,Apr,QE1,10
2021,Apr,QF7,28
2021,Apr,QGH,6
2021,Apr,QH8,20
2021,Apr,QHG,6
2021,Apr,QHL,20
2021,Apr,QHM,16
2021,Apr,QJ2,5
2021,Apr,QJG,13
2021,Apr,QJK,8
2021,Apr,QJM,1
2021,Apr,QK1,16
2021,Apr,QKK,3
2021,Apr,QKS,16
2021,Apr,QM7,12
2021,Apr,QMF,17
2021,Apr,QMJ,10
2021,Apr,QMM,8
2021,Apr,QNC,3
2021,Apr,QNQ,3
2021,Apr,QNX,4
2021,Apr,QOC,0
2021,Apr,QOP,51
2021,Apr,QOQ,17
2021,Apr,QOX,4
2021,Apr,QPM,12
2021,Apr,QR1,1
2021,Apr,QRL,16
2021,Apr,QRV,10
2021,Apr,QSL,2
2021,Apr,QT1,11
2021,Apr,QT6,2
2021,Apr,QU9,2
2021,Apr,QUA,23
2021,Apr,QUE,6
2021,Apr,QUY,16
2021,Apr,QVV,3
2021,Apr,QWE,24
2021,Apr,QWO,44
2021,Apr,QWU,7
2021,Apr,QXU,3
2021,Apr,QYG,24
2021,May,QE1,9
2021,May,QF7,10
2021,May,QGH,3
2021,May,QH8,2
2021,May,QHG,3
2021,May,QHL,8
2021,May,QHM,6
2021,May,QJ2,3
2021,May,QJG,10
2021,May,QJK,2
2021,May,QJM,3
2021,May,QK1,1
2021,May,QKK,4
2021,May,QKS,3
2021,May,QM7,2
2021,May,QMF,9
2021,May,QMJ,4
2021,May,QMM,2
2021,May,QNC,1
2021,May,QNQ,0
2021,May,QNX,0
2021,May,QOC,2
2021,May,QOP,27
2021,May,QOQ,2
2021,May,QOX,4
2021,May,QPM,0
2021,May,QR1,0
2021,May,QRL,2
2021,May,QRV,7
2021,May,QSL,0
2021,May,QT1,7
2021,May,QT6,1
2021,May,QU9,3
2021,May,QUA,14
2021,May,QUE,0
2021,May,QUY,1
2021,May,QVV,1
2021,May,QWE,12
2021,May,QWO,21
2021,May,QWU,1
2021,May,QXU,1
2021,May,QYG,3
2021,Jun,QE1,1
2021,Jun,QF7,1
2021,Jun,QGH,0
2021,Jun,QH8,0
2021,Jun,QHG,0
2021,Jun,QHL,0
2021,Jun,QHM,0
2021,Jun,QJ2,0
2021,Jun,QJG,0
2021,Jun,QJK,0
2021,Jun,QJM,1
2021,Jun,QK1,1
2021,Jun,QKK,0
2021,Jun,QKS,0
2021,Jun,QM7,0
2021,Jun,QMF,1
2021,Jun,QMJ,2
2021,Jun,QMM,1
2021,Jun,QNC,1
2021,Jun,QNQ,0
2021,Jun,QNX,0
2021,Jun,QOC,0
2021,Jun,QOP,10
2021,Jun,QOQ,0
2021,Jun,QOX,0
2021,Jun,QPM,0
2021,Jun,QR1,0
2021,Jun,QRL,0
2021,Jun,QRV,2
2021,Jun,QSL,0
2021,Jun,QT1,1
2021,Jun,QT6,0
2021,Jun,QU9,0
2021,Jun,QUA,5
2021,Jun,QUE,0
2021,Jun,QUY,0
2021,Jun,QVV,0
2021,Jun,QWE,0
2021,Jun,QWO,1
2021,Jun,QWU,0
2021,Jun,QXU,0
2021,Jun,QYG,1
